Track Name,Artist,Album Name,Release Date,Track URL,Album URL,Played At
Rock Your Body,Justin Timberlake,Justified,2002-11-04,https://open.spotify.com/track/1AWQoqb9bSvzTjaLralEkT,https://open.spotify.com/album/6QPkyl04rXwTGlGlcYaRoW,2024-11-15T10:12:14.921Z
She Works Out Too Much,MGMT,Little Dark Age,2018-02-09,https://open.spotify.com/track/3XOKU8CKSiQsuQHD5vhzo5,https://open.spotify.com/album/7GjVWG39IOj4viyWplJV4H,2024-11-15T10:07:26.474Z
The Way You Move (feat. Sleepy Brown),Outkast,Speakerboxxx/The Love Below,2003,https://open.spotify.com/track/5z7mYFfhw6N6f23VwrokJD,https://open.spotify.com/album/1UsmQ3bpJTyK6ygoOOjG1r,2024-11-15T10:02:47.885Z
Woman,Little Simz,Sometimes I Might Be Introvert,2021-09-03,https://open.spotify.com/track/60GM1mA58L7SYD1bLQXBho,https://open.spotify.com/album/4nOym5RKE8Opauf3rMxPAW,2024-11-15T09:37:50.387Z
Smoking on my Ex Pack,SZA,SOS,2022-12-09,https://open.spotify.com/track/4jTs7ny5eSRnKTzxdrFv5I,https://open.spotify.com/album/07w0rG5TETcyihsEIZR3qG,2024-11-15T09:28:55.988Z
Through The Wire,Kanye West,The College Dropout,2004-02-10,https://open.spotify.com/track/4mmkhcEm1Ljy1U9nwtsxUo,https://open.spotify.com/album/4Uv86qWpGTxf7fU7lG5X6F,2024-11-15T09:23:25.394Z
Assumptions,Sam Gellaitry,Assumptions (Jengi Remix),2023-02-10,https://open.spotify.com/track/2vTmp13DDKIRWTHPRYNfEh,https://open.spotify.com/album/2waZkaQGtcdGPWIkcUMxbQ,2024-11-15T09:19:45.225Z
Games,Sam Gellaitry,IV,2021-05-13,https://open.spotify.com/track/0uMEuLOhNkZQy56CMSXIDU,https://open.spotify.com/album/53M9zXvxd0itS7VImk5i7R,2024-11-15T09:14:16.632Z
NAME TO A FACE,Sam Gellaitry,VF VOL II,2022-09-23,https://open.spotify.com/track/2ZXH8gkgQk9jqKw8bOLsbI,https://open.spotify.com/album/7AXixkDgPe0WxaVuwD4qT1,2024-11-15T09:12:36.901Z
STAR OF THE MOMENT,Sam Gellaitry,VF VOL II,2022-09-23,https://open.spotify.com/track/5COrDL9Y7ZMZTD2D6GN5Dd,https://open.spotify.com/album/7AXixkDgPe0WxaVuwD4qT1,2024-11-15T09:10:08.693Z
HEATED,Beyoncé,RENAISSANCE,2022-07-29,https://open.spotify.com/track/1w7cgGZR86yWz1pA2puVJD,https://open.spotify.com/album/6FJxoadUE4JNVwWHghBwnb,2024-11-15T09:07:57.540Z
Deja Vu (feat. Jay-Z) - Homecoming Live,Beyoncé,HOMECOMING: THE LIVE ALBUM,2019-04-17,https://open.spotify.com/track/7Id9WVdUZXIK1jchXxvRH3,https://open.spotify.com/album/35S1JCj5paIfElT2GODl6x,2024-11-15T09:02:11.369Z
Wanna Be Startin' Somethin',Michael Jackson,Thriller 25 Super Deluxe Edition,2008-02-08,https://open.spotify.com/track/2kulOHR2XY6YDZCWXb38hn,https://open.spotify.com/album/1C2h7mLntPSeVYciMRTF4a,2024-11-15T08:57:22.088Z
Wanna Be Startin' Somethin',Michael Jackson,Thriller 25 Super Deluxe Edition,2008-02-08,https://open.spotify.com/track/2kulOHR2XY6YDZCWXb38hn,https://open.spotify.com/album/1C2h7mLntPSeVYciMRTF4a,2024-11-15T08:51:25.790Z
What It Is,Amber Mark,Three Dimensions Deep,2022-01-28,https://open.spotify.com/track/0w3A7y2EJ8awXWMUtftue5,https://open.spotify.com/album/1S8KMYJE7raT6e6hfPRLUU,2024-11-14T21:50:30.112Z
Sympathy is a knife,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/0xOqJjMOnem8EhkHYZKbQS,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T21:30:50.541Z
Club classics,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/1s8sPe3xicX87TBSsdI38c,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T21:30:44.613Z
Club classics,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/1s8sPe3xicX87TBSsdI38c,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T21:28:08.966Z
360,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/4brgXtayKW8ygJnOQv6ESP,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T21:27:46.318Z
Guess featuring billie eilish,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/0IsIY8pfu1yaGkPUD7pkDx,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T21:25:32.683Z
B2b featuring tinashe,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/2xsvVV9DXvYtqXId9Uf2ra,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T21:21:10.078Z
Apple featuring the japanese house,Charli xcx,Brat and it’s completely different but also still brat,2024-10-11,https://open.spotify.com/track/1PJe42QnCMD6JqhcooaWzc,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024-11-14T21:17:28.036Z
