Track Name,Artist,Album Name,Release Date,Track URL,Album URL,Played At
Erza vs. Erza,Yasuharu Takanashi,"""Fairy Tail"" Original Soundtrack Vol.3",2011-07-06,https://open.spotify.com/track/3zPd4Kc7DG2D3UPXbTMRd8,https://open.spotify.com/album/0HaZ8ihRKeV59E3ZaVUjSh,2024-11-15T09:03:37.991Z
Erza vs. Erza,Yasuharu Takanashi,"""Fairy Tail"" Original Soundtrack Vol.3",2011-07-06,https://open.spotify.com/track/3zPd4Kc7DG2D3UPXbTMRd8,https://open.spotify.com/album/0HaZ8ihRKeV59E3ZaVUjSh,2024-11-15T09:00:21.596Z
Forgive but Not Forget,Wings of Destiny,Time,2017-12-04,https://open.spotify.com/track/0onAjXNvBsdSJKNuVFA9i7,https://open.spotify.com/album/1EflKvd5I73THUSgjaAzX1,2024-11-15T08:53:48.290Z
THE GREAT THEME OF CID KAGENOU,Kenichiro Suehiro,BGM FROM TV SERIES ”THE EMINENCE IN SHADOW” 2ND SEASON,2023-12-26,https://open.spotify.com/track/4thDqGnWuzSBLITCAfZLLO,https://open.spotify.com/album/5IBMXdFjWkWTaKcXea6zdc,2024-11-15T08:46:25.977Z
ESCAPE PLAN,Travis Scott,ESCAPE PLAN / MAFIA,2021-11-05,https://open.spotify.com/track/4R67rQNSbbsR4TdUVOIdez,https://open.spotify.com/album/5FB5E1fwFeVqpz2CCzRSve,2024-11-14T22:47:46.862Z
Sniper,Castillo_1st,Sniper,2021-05-14,https://open.spotify.com/track/6TmhQy2r3aClpYABggYqFx,https://open.spotify.com/album/3bqdauOc522dSfB8a9kl0z,2024-11-14T16:34:00.314Z
HONEST,Baby Keem,DIE FOR MY BITCH,2019-07-19,https://open.spotify.com/track/58k32my5lKofeZRtIvBDg9,https://open.spotify.com/album/7Cw4LObzgnVqSlkuIyywtI,2024-11-14T16:30:35.933Z
Suavemente,Soolking,French Rap,2023-08-10,https://open.spotify.com/track/4wzIGCJWJc6EMCgndUeJxI,https://open.spotify.com/album/2RjmcAutPaglj9KaEkd0us,2024-11-14T16:27:44.406Z
Ascension,祖堅 正慶,FINAL FANTASY XVI Original Soundtrack,1987,https://open.spotify.com/track/0DWOv4NcMYQgpdgAO5dBLu,https://open.spotify.com/album/18XUpKyB2Ptj73BZzA6scS,2024-11-14T16:23:34.559Z
Happy Hour,Frosty,Happy Hour,2020-08-19,https://open.spotify.com/track/4U6PqxZ7Q0i5shAt7VMG5u,https://open.spotify.com/album/2Nux8vC7Agsl8In4Nvkb19,2024-11-14T09:24:45.683Z
He comes back again and again,梶浦 由記,劇場版「Fate/stay night [Heaven's Feel]」Original Soundtrack Another Edition,2018,https://open.spotify.com/track/2fWPjli74Su66VOsipAS9f,https://open.spotify.com/album/0POhfOLj3YiZknZxnmKZav,2024-11-14T08:40:23.647Z
Super Street Fighter Ⅳ,Hideyuki Fukasawa,ストリートファイターIVシリーズ サウンドBOX,2014-10-01,https://open.spotify.com/track/2vW8N0obDBDu42tGPZxdaM,https://open.spotify.com/album/16WPK13A4x4DW1NaQLKE9E,2024-11-13T11:26:10.213Z
